pclass,survived,age,sibsp,parch,fare,cabin,boat,body,sex_male,embarked_Q,embarked_S
0.0,1.0,0.36116883556110047,0.0,0.0,0.41250332793836464,B5,2,0.4709480122324159,0.0,0.0,1.0
0.0,1.0,0.009394575947630879,0.125,0.2222222222222222,0.29580589980036276,C22 C26,11,0.4709480122324159,0.9999999999999999,0.0,1.0
0.0,0.0,0.02296410144638894,0.125,0.2222222222222222,0.29580589980036276,C22 C26,13,0.4709480122324159,0.0,0.0,1.0
0.0,0.0,0.3736949368246083,0.125,0.2222222222222222,0.29580589980036276,C22 C26,13,0.4097859327217125,0.9999999999999999,0.0,1.0
0.0,0.0,0.3110644305070691,0.125,0.2222222222222222,0.29580589980036276,C22 C26,13,0.4709480122324159,0.0,0.0,1.0
0.0,1.0,0.5991647595677494,0.0,0.0,0.05182214872781017,E12,3,0.4709480122324159,0.9999999999999999,0.0,1.0
0.0,1.0,0.7870562785203667,0.125,0.0,0.15216446768991498,D7,10,0.4709480122324159,0.0,0.0,1.0
0.0,0.0,0.48642984819617885,0.0,0.0,0.0,A36,13,0.4709480122324159,0.9999999999999999,0.0,1.0
0.0,1.0,0.6617952658852885,0.24999999999999997,0.0,0.10048070654571319,C101,D,0.4709480122324159,0.0,0.0,1.0
0.0,0.0,0.8872650886284295,0.0,0.0,0.09662576327876685,C23 C25 C27,13,0.06422018348623854,0.9999999999999999,0.0,0.0
0.0,0.0,0.5866386583042416,0.125,0.0,0.4440992237022602,C62 C64,13,0.37614678899082565,0.9999999999999999,0.0,0.0
0.0,1.0,0.2233817216625143,0.125,0.0,0.4440992237022602,C62 C64,4,0.4709480122324159,0.0,0.0,0.0
0.0,1.0,0.2985383292435613,0.0,0.0,0.13526459159462315,B35,9,0.4709480122324159,0.0,0.0,0.0
0.0,1.0,0.32359053177057695,0.0,0.0,0.15390495017656614,C23 C25 C27,6,0.4709480122324159,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.05855610025741262,A23,B,0.4709480122324159,0.9999999999999999,0.0,1.0
